id,name,synonyms
fe3e1cdf-8d96-45cd-b578-67f21883d0ea,Lorazepam,Lorazepam 3mg|Lorazepam 40mg|Lorazepam 2.5mg|Lorazepam 4mg|Lorazepam 1mg|Lorazepam 0.5mg|Lorazepam 2mg|Lorazepam NA
5febca09-7d34-480b-a211-4e89db74acce,Domperidone,Domperidone NA + Magaldrate NA|Domperidone NA + Paracetamol NA|Domperidone 30mg + Rabeprazole 10mg|Domperidone 10mg + Paracetamol 650mg|Domperidone NA + Esomeprazole NA|Domperidone 30mg|Domperidone 20mg + Omeprazole 20mg|Domperidone 10mg/ml|Domperidone 40mg + Pantoprazole 10mg|Domperidone 10mg + Omeprazole 20mg|Domperidone NA + Lansoprazole NA|Domperidone 30mg + Lansoprazole 30mg|Domperidone 40mg|Domperidone 1mg/ml|Domperidone 30mg + Esomeprazole 40mg|Domperidone 30mg + Dexrabeprazole 20mg|Domperidone 40mg + Pantoprazole 40mg|Domperidone 40mg + Pantoprazole NA|Domperidone 10mg + Flunarizine 10mg|Domperidone 15mg + Omeprazole 10mg
6111ed01-37d8-4a10-914c-1dd18d523c63,Omeprazole,Omeprazole 10mg + Domperidone 15mg|Omeprazole 10mg|Omeprazole 20mg|Omeprazole 15mg|Omeprazole NA|Omeprazole 5mg|Omeprazole 20mg + Tinidazole 500mg|Omeprazole 10mg + Dicyclomine 15mg|Omeprazole 20mg + Cinitapride 3mg|Omeprazole 40mg|Omeprazole 100mg|Omeprazole 10mg + Dicyclomine 10mg
0789e7fe-eaa8-45e8-80a1-20eaf68f0c4d,Spironolactone,Spironolactone 50mg|Spironolactone NA + Torasemide NA|Spironolactone 25mg + Hydroflumethiazide 25mg|Spironolactone 50mg + Torasemide 5mg|Spironolactone 25mg + Torasemide 20mg|Spironolactone 25mg + Torasemide 10mg|Spironolactone 50mg + Torasemide 20mg|Spironolactone 100mg|Spironolactone 25mg|Spironolactone 50mg + Torasemide 10mg
c6c3adc2-afcb-442e-9a55-e1e19a9155ca,Amlodipine,Amlodipine 50mg + Metoprolol Succinate 47.5mg|Amlodipine 2.5mg + Enalapril 2.5mg|Amlodipine 5mg + Lisinopril 10mg|Amlodipine 2.5mg + Metoprolol Succinate 23.75mg|Amlodipine 5mg + Atenolol 25mg|Amlodipine 10mg + Valsartan 160mg|Amlodipine 5mg + Valsartan 160mg|Amlodipine 2.5mg + Metoprolol Succinate 50mg|Amlodipine 5mg + Perindopril erbumine 4mg|Amlodipine 5mg + Ramipril 5mg|Amlodipine 5mg + Metoprolol Succinate 23.75mg|Amlodipine 5mg + Enalapril 2.5mg|Amlodipine 25mg + Metoprolol Succinate 5mg|Amlodipine 2.5mg|Amlodipine 10mg + Perindopril erbumine 4mg|Amlodipine 5mg + Enalapril 5mg|Amlodipine 10mg + Atorvastatin 10mg|Amlodipine 5mg + Indapamide 1.5mg|Amlodipine 5mg + Atenolol 50mg|Amlodipine 2.5mg + Hydrochlorothiazide 12.5mg
b60640f5-2284-470a-8e9c-afa1036def8c,Atenolol,Atenolol 5mg|Atenolol 25mg + Chlorthalidone 12.5mg|Atenolol 100mg|Atenolol 500mg|Atenolol 50mg + Indapamide 1.5mg|Atenolol 100mg + Chlorthalidone 25mg|Atenolol 50mg + Nifedipine 20mg|Atenolol 25mg|Atenolol 12.5mg|Atenolol 750mg|Atenolol 50mg + Lercanidipine 10mg|Atenolol 50mg + Losartan 50mg|Atenolol NA|Atenolol 50mg + Hydrochlorothiazide 25mg|Atenolol 50mg + Indapamide 1.25mg|Atenolol 25mg + Nifedipine 10mg|Atenolol 50mg|Atenolol 50mg + Hydrochlorothiazide 12.5mg|Atenolol 50mg + Nitrendipine 10mg|Atenolol 50mg + Chlorthalidone 6.25mg
9ae47b95-d69c-4d93-beee-8a3d93a18470,Ticagrelor,Ticagrelor 90mg + Aspirin 75mg|Ticagrelor 90mg|Ticagrelor 60mg
3e7b8f78-9cf9-458e-ae6c-496fb7a7cf1e,Paracetamol,Paracetamol 325mg + S-Etodolac 200mg|Paracetamol 400mg + Dextropropoxyphene 65mg|Paracetamol 325mg + Chlorzoxazone 250mg|Paracetamol 325mg + Prochlorperazine 5mg|Paracetamol 75mg/ml|Paracetamol 300mg + Caffeine 50mg|Paracetamol 125mg + Phenylpropanolamine 12.5mg|Paracetamol 500mg + Racemethionine 50mg|Paracetamol 100mg + Racemethionine 10mg|Paracetamol 500mg + Pseudoephedrine 60mg|Paracetamol 650mg + Chlorzoxazone 500mg|Paracetamol 350mg + Paracetamol 650mg|Paracetamol 500mg + Prochlorperazine 5mg|Paracetamol 500mg + Oxyphenbutazone 100mg|Paracetamol 500mg + Chlorpheniramine Maleate 4mg|Paracetamol 170mg|Paracetamol 100mg/5ml|Paracetamol 500mg + Pseudoephedrine 30mg|Paracetamol 100mg|Paracetamol 500mg + Dicyclomine 20mg
4f76977f-002f-4159-9b94-6b39f6331f1a,Alfuzosin,Alfuzosin 10mg + Solifenacin 5mg|Alfuzosin 10mg|Alfuzosin 10mg + Dutasteride 0.5mg
202d8114-8196-4c80-b5aa-efefbcad287c,Vitamin D3,Vitamin D3 60000IU + Linseed Oil 300mg|Vitamin D3 300000IU|Vitamin D3 60000units|Vitamin D3 600IU|Vitamin D3 60000IU|Vitamin D3 6Lac units|Vitamin D3 600000IU|Vitamin D3 1000IU + Myo-Inositol 2000mg|Vitamin D3 400IU/0.5ml|Vitamin D3 2000IU|Vitamin D3 NA|Vitamin D3 800IU/1ml|Vitamin D3 60000mg|Vitamin D3 400IU|Vitamin D3 6000IU|Vitamin D3 7.5mg|Vitamin D3 600000IU/ml|Vitamin D3 800IU
