nppa_drug_name,salt_id,dosage_form,strength,ceiling_price_2026,drugs_matched_form,drugs_matched_exact,violations
Ampicillin,54ec1577-fbc9-4ce8-8035-58ec13561315,Injection,1 gm,25.51,187,27,17
Arsenic Trioxide,f64d8702-a52d-4115-8fa4-1b8b8fc03c12,Injection,1mg/ml,31.27,3,0,0
Artemether (A) + Lumefantrine(B),ce6b4c8a-f0bf-459e-99d3-092b9f68d612,Tablet,40 mg (A) + 240 mg (B),18.47,287,21,1
Artemether (A) +Lumefantrine(B),ce6b4c8a-f0bf-459e-99d3-092b9f68d612,Tablet,80mg(A)+480mg(B),26.12,287,246,40
Artemether (A) +Lumefantrine(B),ce6b4c8a-f0bf-459e-99d3-092b9f68d612,Tablet,20 mg (A) + 120 mg (B),12.95,287,19,4
Artesunate,e103153a-cbc5-4105-a3d9-78cd9aea1a47,Injection,60 mg,250.61,411,338,0
Artesunate,e103153a-cbc5-4105-a3d9-78cd9aea1a47,Injection,120mg,465.35,411,58,0
Artesunate (A) + Sulphadoxine - Pyrimethamine (B),e103153a-cbc5-4105-a3d9-78cd9aea1a47,Tablet,,23.09,86,0,0
Ascorbic acid (Vitamin C),9a2af528-2402-4107-bcc4-01375fd708b9,Tablet,100mg,0.24,9,3,3
Atazanavir (A) +Ritonavir(B),52cca76f-a67b-48f8-be2b-0d4b24095c40,Tablet,300mg(A) + Tablet 100mg(B),102.23,5,5,0
Atorvastatin,b2299b80-f79c-4755-9c31-1260c725b4e8,Tablet,40mg,19.77,2033,254,38
Atorvastatin,b2299b80-f79c-4755-9c31-1260c725b4e8,Tablet,20mg,12.86,2033,576,121
Atorvastatin,b2299b80-f79c-4755-9c31-1260c725b4e8,Tablet,80mg,41.56,2033,71,7
Atorvastatin,b2299b80-f79c-4755-9c31-1260c725b4e8,Tablet,10mg,5.09,2033,1054,729
Atracurium,8fd508f9-0214-449d-9ac8-cfaf3ae93f1b,Injection,10 mg/ml,17.39,28,7,7
Atropine,41750a02-1dc3-4ad6-a506-f5c7e8b50a88,Drops,1%,4.04,0,0,0
Atropine,41750a02-1dc3-4ad6-a506-f5c7e8b50a88,Ointment,1%,4.82,5,0,0
Atropine,41750a02-1dc3-4ad6-a506-f5c7e8b50a88,Injection,0.6mg/mL,7.03,13,10,2
Azathioprine,aa1ef34b-1d8b-4eaf-b282-94cff4e84eae,Tablet,50mg,11.53,53,53,1
Azathioprine,aa1ef34b-1d8b-4eaf-b282-94cff4e84eae,Tablet,25mg(p),7.42,53,0,0
Azithromycin,a4031d7c-7765-4de4-8e9b-268145df360a,Injection,500mg,209.63,34,33,1
Azithromycin,a4031d7c-7765-4de4-8e9b-268145df360a,Tablet,500mg,24.14,3726,1998,129
Azithromycin,a4031d7c-7765-4de4-8e9b-268145df360a,Oral Liquid,200 mg/5 mL (p),3.49,0,0,0
Azithromycin,a4031d7c-7765-4de4-8e9b-268145df360a,Capsule,250mg,10.87,31,19,7
Azithromycin,a4031d7c-7765-4de4-8e9b-268145df360a,Tablet,1000mg,59.17,3726,11,1
Azithromycin,a4031d7c-7765-4de4-8e9b-268145df360a,Capsule,500mg,19.49,31,12,7
Azithromycin,a4031d7c-7765-4de4-8e9b-268145df360a,Tablet,250mg,11.95,3726,1545,146
Baclofen,dcbb4054-9501-472a-bae0-bf3f41786bf3,Tablet,20mg,16.67,155,36,15
Baclofen,dcbb4054-9501-472a-bae0-bf3f41786bf3,Tablet,10mg,12.19,155,85,8
Baclofen,dcbb4054-9501-472a-bae0-bf3f41786bf3,Tablet,5mg,6.52,155,7,1
Benzoyl peroxide,965b048a-035a-4a8c-b41a-08fbaad6d4dc,Gel,2.5,3.7,54,0,0
Benzoyl peroxide,965b048a-035a-4a8c-b41a-08fbaad6d4dc,Gel,5 %,8.16,54,0,0
Benzoyl peroxide,965b048a-035a-4a8c-b41a-08fbaad6d4dc,Gel,3.5%,10.36,54,0,0
Betamethasone,c432d265-6b61-42c6-a1c4-c0e6e01eb483,Injection,4mg/mL,4.85,29,28,3
Bicalutamide,5a5a6c5e-45ca-4c77-818f-d3977a5467e2,Tablet,50mg,44.34,28,28,7
Bisacodyl,a8806c49-c883-4add-a52f-951ca66aafbb,Tablet,5mg,1.2,33,28,3
Bisacodyl,a8806c49-c883-4add-a52f-951ca66aafbb,Suppository,5mg,10.22,0,0,0
Bleomycin,46c75c94-2063-46d7-ab64-7d9da5d986cc,Injection,15units,693.68,18,0,0
Bortezomib,b2b7618d-123c-49e0-b0ae-a60fe2a28d40,Injection,2mg,5386.81,48,39,28
Budesonide,f77c61d4-33f8-4350-95ab-62f6e0dba080,Solution,for use in nebulizer 0.5mg/mL,12.19,2,2,1
Budesonide,f77c61d4-33f8-4350-95ab-62f6e0dba080,Solution,for use in nebulizer 1mg/mL,13.46,2,2,1
Budesonide,f77c61d4-33f8-4350-95ab-62f6e0dba080,Inhalation,(MDI) 100 mcg/dose,1.44,0,0,0
Budesonide,f77c61d4-33f8-4350-95ab-62f6e0dba080,Inhalation,(MDI) 200 mcg/dose,2.08,0,0,0
Budesonide,f77c61d4-33f8-4350-95ab-62f6e0dba080,Inhalation,(DPI) 200 mcg/dose,3.41,0,0,0
Budesonide,f77c61d4-33f8-4350-95ab-62f6e0dba080,Nasal Spray,100 mcg/dose,0.83,0,0,0
Budesonide (A)+ Formoterol (B),f77c61d4-33f8-4350-95ab-62f6e0dba080,Inhalation,(DPI) 400 mcg (A) + 6 mcg (B),7.12,0,0,0
Budesonide (A)+ Formoterol (B),f77c61d4-33f8-4350-95ab-62f6e0dba080,Inhalation,(MDI) 100 mcg (A) + 6 mcg (B),2.17,0,0,0
Budesonide (A)+ Formoterol (B),f77c61d4-33f8-4350-95ab-62f6e0dba080,Inhalation,(DPI) 100 mcg (A) + 6 mcg (B),4.43,0,0,0
Budesonide (A)+ Formoterol (B),f77c61d4-33f8-4350-95ab-62f6e0dba080,Inhalation,(DPI) 200 mcg (A) + 6 mcg (B),5.86,0,0,0
Budesonide (A) + Formoterol (B),f77c61d4-33f8-4350-95ab-62f6e0dba080,Inhalation,(MDI) 200mcg (A) + 6mcg (B),3.03,0,0,0
Budesonide (A) + Formoterol (B),f77c61d4-33f8-4350-95ab-62f6e0dba080,Inhalation,(MDI) 400mcg (A) + 6mcg (B),3.45,0,0,0
Bupivacaine,c01cda42-7784-493e-a4fc-d9b0ebf6224e,Injection,0.5 % with 7.5 % glucose,7.57,27,0,0
Bupivacaine,c01cda42-7784-493e-a4fc-d9b0ebf6224e,Injection,0.5 %,4.53,27,0,0
Bupivacaine,c01cda42-7784-493e-a4fc-d9b0ebf6224e,Injection,0.25%,2.9,27,0,0
Buprenorphine,ce764bbc-1bf1-4562-a10f-7be4f142ed34,Tablet,(Sub-lingual)0.4mg,9.65,7,5,1
Buprenorphine (A) +Naloxone (B),ce764bbc-1bf1-4562-a10f-7be4f142ed34,Tablet,(Sub-lingual) 2mg(A)+0.5mg(B),37.86,7,2,1
Buprenorphine (A) +Naloxone (B),ce764bbc-1bf1-4562-a10f-7be4f142ed34,Tablet,(Sub-lingual) 0.4mg(A)+0.1mg(B),12.11,7,5,1
Caffeine,74678c96-3236-4fa9-847c-7c8cb7c05838,Oral Liquid,20 mg/mL,251.58,0,0,0
Caffeine,74678c96-3236-4fa9-847c-7c8cb7c05838,Injection,20mg/mL,256.52,6,4,3
Calamine,9490b140-4563-4a69-b3c2-5382d3ff1c8e,Lotion,(As per IP),0.98,15,0,0
Capecitabine,5c3b57fa-7fed-4893-a4fd-4144b016addb,Tablet,500mg,115.43,57,53,33
Carbamazepine,c503626b-bbce-475e-a55d-407a796d055f,Modified Release,– Tablet 200mg,2.46,0,0,0
Carbamazepine,c503626b-bbce-475e-a55d-407a796d055f,Modified Release,– Tablet 400mg,4.77,0,0,0
Carbamazepine,c503626b-bbce-475e-a55d-407a796d055f,Tablet,400mg,3.63,168,33,8
Carbamazepine,c503626b-bbce-475e-a55d-407a796d055f,Tablet,200mg,1.61,168,88,26
Carbamazepine,c503626b-bbce-475e-a55d-407a796d055f,Oral Liquid,100mg/5mL(p),0.32,0,0,0
Carbamazepine,c503626b-bbce-475e-a55d-407a796d055f,Tablet,100mg,1.1,168,22,6
Carbimazole,a34f24fb-5ee6-42b7-be3f-f7784120483f,Tablet,10mg,4.36,19,7,0
Carbimazole,a34f24fb-5ee6-42b7-be3f-f7784120483f,Tablet,5mg,2.24,19,7,1
Carbimazole,a34f24fb-5ee6-42b7-be3f-f7784120483f,Tablet,20mg,14.2,19,5,0
Carboplatin,fe0f5380-e021-42c8-a5ec-6ee52910c4a7,Injection,10mg/mL,60.49,64,2,0
Cefadroxil,417b0a61-24b8-4aae-b42e-ab46566e6d96,Tablet,500mg,6.87,428,153,42
Cefadroxil,417b0a61-24b8-4aae-b42e-ab46566e6d96,Oral Liquid,125mg/5mL(p),0.69,0,0,0
Cefixime,6b4c5eaa-cb14-4e99-9385-907056b5683b,Tablet,400mg,22.63,6885,38,17
Cefixime,6b4c5eaa-cb14-4e99-9385-907056b5683b,Tablet,200mg,10.01,6885,5107,4309
Cefixime,6b4c5eaa-cb14-4e99-9385-907056b5683b,Oral Liquid,50 mg/5 mL (p),1.67,0,0,0
Cefixime,6b4c5eaa-cb14-4e99-9385-907056b5683b,Oral Liquid,100mg/5mL(p),2.45,0,0,0
Cefixime,6b4c5eaa-cb14-4e99-9385-907056b5683b,Capsule,200mg,15.04,32,25,14
Cefotaxime,04759f59-81f7-49a8-8db5-b900d1a667cb,Injection,250 mg,18.15,310,82,19
Cefotaxime,04759f59-81f7-49a8-8db5-b900d1a667cb,Injection,500 mg,24.96,310,78,23
Cefotaxime,04759f59-81f7-49a8-8db5-b900d1a667cb,Injection,1000mg,40.92,310,130,33
Ceftazidime,52e7dac0-a65f-4984-a392-dfaa5dc21007,Injection,1000mg,232.47,689,424,271
Ceftazidime,52e7dac0-a65f-4984-a392-dfaa5dc21007,Injection,250 mg,80.97,689,202,74
Ceftriaxone,275cf76e-03e7-4323-ac4f-576aee28232b,Injection,500 mg,51.49,6121,1188,434
Ceftriaxone,275cf76e-03e7-4323-ac4f-576aee28232b,Injection,250 mg,29.02,6121,1596,963
Ceftriaxone,275cf76e-03e7-4323-ac4f-576aee28232b,Injection,1000mg,63.88,6121,3159,2102
Ceftriaxone,275cf76e-03e7-4323-ac4f-576aee28232b,Injection,2000mg,141.43,6121,62,11
Cefuroxime,61b92bda-8b78-4955-82a4-791dc5fc5f12,Oral Liquid,125mg/5mL(p),5.44,0,0,0
Cefuroxime,61b92bda-8b78-4955-82a4-791dc5fc5f12,Tablet,500mg,52.67,2652,1631,548
Cefuroxime,61b92bda-8b78-4955-82a4-791dc5fc5f12,Injection,1500 mg,346.9,430,218,18
Cetirizine,5c6f2233-e191-4167-9f61-a361fb3946d2,Tablet,10mg,1.92,934,501,161
Cetirizine,5c6f2233-e191-4167-9f61-a361fb3946d2,Oral Liquid,5mg/5mL(p),0.67,0,0,0
Chlorambucil,40e268cf-187c-47a9-a067-5542b32756c4,Tablet,2 mg,31.91,7,3,2
Chlorambucil,40e268cf-187c-47a9-a067-5542b32756c4,Tablet,5 mg,79.06,7,4,0
Chloroquine,a9513208-35a0-44c5-96d1-2403a84b662f,Tablet,150 mg,1.36,76,0,0
Chloroquine,a9513208-35a0-44c5-96d1-2403a84b662f,Oral Liquid,50mg/5mL,0.35,0,0,0
Ciprofloxacin,f0ab78a4-fb1e-43e6-b5bf-5cb108482ca2,Tablet,250mg,2.25,1584,449,373
Ciprofloxacin,f0ab78a4-fb1e-43e6-b5bf-5cb108482ca2,Tablet,500mg,4.35,1584,1077,877
Ciprofloxacin,f0ab78a4-fb1e-43e6-b5bf-5cb108482ca2,Drops,0.3 %,1.58,43,0,0
Ciprofloxacin,f0ab78a4-fb1e-43e6-b5bf-5cb108482ca2,Injection,200mg/100mL,0.2,7,1,0
Ciprofloxacin,f0ab78a4-fb1e-43e6-b5bf-5cb108482ca2,Oral Liquid,250mg/5mL(p),0.75,0,0,0
Ciprofloxacin,f0ab78a4-fb1e-43e6-b5bf-5cb108482ca2,Ointment,0.3%,1.32,10,0,0
Cisplatin,8c86d474-d5d1-4066-9a99-ec106772240b,Injection,1mg/mL,7.26,36,2,1
Clarithromycin,8374f59d-4862-4f81-98d5-400491e08650,Tablet,500mg,40.79,212,81,52
Clarithromycin,8374f59d-4862-4f81-98d5-400491e08650,Tablet,250mg,24.64,212,115,43
Clarithromycin,8374f59d-4862-4f81-98d5-400491e08650,Oral Liquid,125mg/5mL(p),4.76,0,0,0
Clindamycin,cfbf9299-f2bc-4053-8848-b2aba12564eb,Capsule,150mg,16.75,207,22,2
Clindamycin,cfbf9299-f2bc-4053-8848-b2aba12564eb,Capsule,300mg,29.05,207,115,6
Clindamycin,cfbf9299-f2bc-4053-8848-b2aba12564eb,Tablet,300mg,19.43,35,15,10
Clindamycin,cfbf9299-f2bc-4053-8848-b2aba12564eb,Injection,150mg/mL,62.05,141,24,13
Clobazam,f0c9b011-8cff-4fa3-b081-03f66f83c6b0,Tablet,5mg,5.87,200,86,4
Clobazam,f0c9b011-8cff-4fa3-b081-03f66f83c6b0,Tablet,10mg,10.08,200,90,5
Clofazimine,aea051e4-97d0-4908-8cec-c738d0cb9ff2,Capsule,100mg,4.08,11,5,0
Clofazimine,aea051e4-97d0-4908-8cec-c738d0cb9ff2,Capsule,50mg,2.16,11,6,0
Clomipramine,6fab0784-eeab-48dc-839f-952f031f6540,Tablet,10 mg,2.92,98,15,2
Clomipramine,6fab0784-eeab-48dc-839f-952f031f6540,Tablet,25 mg,6.37,98,31,1
Clomipramine,6fab0784-eeab-48dc-839f-952f031f6540,Tablet,75 mg,16.86,98,20,1
Clonazepam,8df95bc4-055d-48e8-b7c5-cdd5cca2f01f,Tablet,0.25mg,2.07,1456,1328,1068
Clonazepam,8df95bc4-055d-48e8-b7c5-cdd5cca2f01f,Tablet,0.5mg,3.53,1456,1328,746
Clonazepam,8df95bc4-055d-48e8-b7c5-cdd5cca2f01f,Tablet,1mg,4.88,1456,1328,627
Clopidogrel,ae7d99ff-48d0-421c-88b9-7747e897cb0a,Tablet,75mg,6.82,211,194,31
Clopidogrel,ae7d99ff-48d0-421c-88b9-7747e897cb0a,Tablet,150 mg,20.98,211,14,0
Clotrimazole,2b376b80-fdfb-4cf9-933d-bab3e19a5c35,Lotion,1%,3.99,24,0,0
Clotrimazole,2b376b80-fdfb-4cf9-933d-bab3e19a5c35,Pessary,100mg,10.25,0,0,0
Clotrimazole,2b376b80-fdfb-4cf9-933d-bab3e19a5c35,Drops,1%,3.45,0,0,0
Clotrimazole,2b376b80-fdfb-4cf9-933d-bab3e19a5c35,Cream,1%,3.07,108,0,0
Cloxacillin,58c6686a-880d-4967-bb38-735cd1b7d2d7,Capsule,500mg,2.44,9,4,2
Cloxacillin,58c6686a-880d-4967-bb38-735cd1b7d2d7,Capsule,250mg,1.44,9,5,4
Clozapine,4b6753ff-613e-47c7-ac46-923db672cb75,Tablet,25mg,2.85,164,47,1
Clozapine,4b6753ff-613e-47c7-ac46-923db672cb75,Tablet,50mg,5.31,164,49,4
Clozapine,4b6753ff-613e-47c7-ac46-923db672cb75,Tablet,100 mg,8.66,164,55,6
Colchicine,f8f831ac-483b-44aa-bfae-cdd80214f04f,Tablet,0.5mg,3.34,7,7,2
Cyclophosphamide,fc442772-aca8-4d69-984e-d496226d0745,Injection,500mg,75.25,40,16,3
Cyclophosphamide,fc442772-aca8-4d69-984e-d496226d0745,Tablet,50mg,3.81,8,8,1
Cycloserine,84881917-9fa1-4ad3-88f7-f8cf9330b52f,Capsule,250mg,60.61,8,8,1
Cycloserine,84881917-9fa1-4ad3-88f7-f8cf9330b52f,Tablet,250mg,47.11,2,2,0
Dacarbazine,00622bd3-3481-4e90-83d1-fd85b347758d,Injection,200mg,390.91,31,13,6
Dacarbazine,00622bd3-3481-4e90-83d1-fd85b347758d,Injection,500mg,531.29,31,13,13
Daclatasvir,e3cbd43a-41ce-45e0-810b-857aa80db844,Tablet,60mg,204.77,17,16,6
Dapsone,0ebbbda4-1b77-4c12-a71b-d896ea992532,Tablet,100 mg,0.42,1,1,0
Darunavir,642fd2d7-3c8a-4846-b0ad-edad9ff31ed4,Tablet,600mg,158.15,8,4,3
Darunavir (A) +Ritonavir (B),642fd2d7-3c8a-4846-b0ad-edad9ff31ed4,Tablet,600mg (A) + 100mg (B),149.98,8,4,3
Dexamethasone,93cd7b9d-8007-488b-b8aa-d403a15709b8,Tablet,0.5mg,0.22,43,15,4
Dexamethasone,93cd7b9d-8007-488b-b8aa-d403a15709b8,Tablet,4 mg,4.73,43,13,2
Dexamethasone,93cd7b9d-8007-488b-b8aa-d403a15709b8,Injection,4mg/mL (2 ML),5.21,84,66,10
Dexamethasone,93cd7b9d-8007-488b-b8aa-d403a15709b8,Injection,4mg/mL (5 ML),2.63,84,66,37
Dexamethasone,93cd7b9d-8007-488b-b8aa-d403a15709b8,Injection,4mg/mL (Pack of 10ML),1.61,84,66,47
Dexamethasone,93cd7b9d-8007-488b-b8aa-d403a15709b8,Injection,4mg/mL (Pack of 20 ML),1.38,84,66,49
Dexamethasone,93cd7b9d-8007-488b-b8aa-d403a15709b8,Injection,4mg/mL (Pack of 30ML),0.93,84,66,66
Diazepam,ec0535c5-89cf-4a53-8d99-816dfd32f2af,Tablet,5 mg,1.67,156,66,13
Diazepam,ec0535c5-89cf-4a53-8d99-816dfd32f2af,Injection,5mg/mL,5.68,19,9,4
Diazepam,ec0535c5-89cf-4a53-8d99-816dfd32f2af,Tablet,2 mg,1.48,156,64,33
Diazepam,ec0535c5-89cf-4a53-8d99-816dfd32f2af,Suppository,5mg,6.34,0,0,0
Diclofenac,5841d559-c2c7-48f8-a698-ef00819eca39,Tablet,50mg,2.1,3457,3208,2706
Diclofenac,5841d559-c2c7-48f8-a698-ef00819eca39,Injection,25mg/mL,1.73,949,149,95
Dicyclomine,70faf4ce-3bc0-4403-9f70-1614edfaa0c1,Injection,10mg/mL (Less than 10ML Pack),3.4,54,31,14
Dicyclomine,70faf4ce-3bc0-4403-9f70-1614edfaa0c1,Injection,10mg/mL (10 ML & more pack)),2.15,54,31,18
Diethylcarbamazine (DEC),aceb0e51-472f-4541-a28f-10c647764f38,Tablet,100mg,1.71,54,9,1
Diethylcarbamazine (DEC),aceb0e51-472f-4541-a28f-10c647764f38,Tablet,50mg,0.57,54,1,0
Diethylcarbamazine (DEC),aceb0e51-472f-4541-a28f-10c647764f38,Oral Liquid,120mg/5mL(p),0.49,0,0,0
Digoxin,165fa63b-c133-4e47-988c-07c9c80ef37a,Tablet,0.25mg,1.36,12,12,0
Digoxin,165fa63b-c133-4e47-988c-07c9c80ef37a,Oral Liquid,0.05mg/mL,1.51,0,0,0
Digoxin,165fa63b-c133-4e47-988c-07c9c80ef37a,Injection,0.25mg/mL,3.97,2,2,2
Diltiazem,46432295-5a19-49aa-99aa-e2c25cbba6a9,Tablet,60mg,5.6,116,33,4
Diltiazem,46432295-5a19-49aa-99aa-e2c25cbba6a9,Tablet,30mg,2.75,116,44,3
Diltiazem,46432295-5a19-49aa-99aa-e2c25cbba6a9,Injection,5mg/mL,3.58,1,1,0
Diltiazem,46432295-5a19-49aa-99aa-e2c25cbba6a9,Modified Release,Capsule 180mg,26.89,0,0,0
Dinoprostone,cee018a1-33f0-4b48-8b6f-56e37d2a79c8,Gel,0.5mg,86.75,4,4,1
Dobutamine,ad371a59-9c1b-4ad7-b719-0319d324f13a,Injection,50 mg/ml,9.25,31,7,7
Docetaxel,033b945e-2b5d-411c-a64c-d6719e039d10,Injection,20mg,2937.27,114,41,16
Docetaxel,033b945e-2b5d-411c-a64c-d6719e039d10,Injection,80mg,10581.82,114,38,5
Dolutegravir,95407a92-857f-40e1-b85f-c9f1e3f983eb,Tablet,50mg,115.5,4,4,2
Domperidone,5febca09-7d34-480b-a211-4e89db74acce,Tablet,10mg,2.37,2736,2071,1851
Domperidone,5febca09-7d34-480b-a211-4e89db74acce,Oral Liquid,1mg/mL,1.27,0,0,0
Donepezil,65304c13-764f-4979-a4a1-51cdf0f13d11,Tablet,10mg,17.88,121,32,6
Donepezil,65304c13-764f-4979-a4a1-51cdf0f13d11,Tablet,5mg,12.4,121,79,34
Dopamine,c0dfab51-c7de-4e94-b0d0-cc29c4784609,Injection,40mg/mL,4.88,20,8,7
Doxycycline,ed857d58-1b88-4a81-a0a3-d4825c23b383,Capsule,100mg,3.15,182,177,131
Doxycycline,ed857d58-1b88-4a81-a0a3-d4825c23b383,Tablet,100mg,1.25,167,149,138
Doxycycline,ed857d58-1b88-4a81-a0a3-d4825c23b383,Injection,100 mg,514.71,49,48,21
Efavirenz,a19a3991-3649-451a-9147-45b5ec4d8457,Tablet,600mg,72.29,11,8,0
Efavirenz,a19a3991-3649-451a-9147-45b5ec4d8457,Tablet,200 mg (p),23.08,11,3,1
Efavirenz,a19a3991-3649-451a-9147-45b5ec4d8457,Capsule,200 mg,22.51,4,2,2
Efavirenz,a19a3991-3649-451a-9147-45b5ec4d8457,Capsule,600 mg,57.03,4,2,2
Enalapril,70e7d4e1-998a-4020-97d9-5d102540e584,Tablet,5mg,3.78,159,67,2
Enalapril,70e7d4e1-998a-4020-97d9-5d102540e584,Tablet,2.5mg,2.24,159,43,3
Enoxaparin,34d6f7ba-60dc-44d7-be19-53eee905c7c0,Injection,"40mg/0.4mL, Injection 60mg/0.6 ml",114.68,171,74,72
Entecavir,3bb912ea-c4e6-44e6-9440-035c9c99a028,Tablet,1mg,133.37,28,28,0
Entecavir,3bb912ea-c4e6-44e6-9440-035c9c99a028,Tablet,0.5mg,86.47,28,28,7
Esmolol,3938183c-7497-4f49-8bde-6cf981a15689,Injection,10 mg/mL,27.01,5,0,0
Ethambutol,85e0cdcb-3f17-4ec6-9f1a-a26674d371c6,Tablet,600mg,4.18,101,10,0
Ethambutol,85e0cdcb-3f17-4ec6-9f1a-a26674d371c6,Tablet,800mg,5.08,101,56,0
Ethambutol,85e0cdcb-3f17-4ec6-9f1a-a26674d371c6,Tablet,400mg,2.68,101,11,0
Ethambutol,85e0cdcb-3f17-4ec6-9f1a-a26674d371c6,Tablet,200mg,1.17,101,6,0
Ethionamide,8c536f8c-c128-4de3-bdcb-c472981a46ef,Tablet,250mg,15.17,14,14,2
Etoposide,185cdb3c-b7f7-4d7c-88ef-8a881318519f,Capsule,50mg,57.99,7,5,0
Etoposide,185cdb3c-b7f7-4d7c-88ef-8a881318519f,Injection,20mg/mL,35.34,25,2,1
Fentanyl,d7e9ad36-85df-4767-a308-08eb96f686d0,Injection,50mcg/ml,21.46,6,0,0
Filgrastim,09933e58-593b-46e5-b351-ba92d8c2a4c0,Injection,300mcg,1187.83,31,0,0
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Tablet,400mg,30.47,1264,64,22
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Tablet,200mg,17.88,1264,183,116
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Tablet,100mg,7.8,1264,10,7
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Tablet,150mg,12.35,1264,931,439
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Tablet,50mg,9.91,1264,56,15
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Capsule,200mg,41.08,99,13,2
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Capsule,150mg,19.68,99,69,28
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Injection,200mg/100mL,94.55,7,4,0
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Capsule,100mg,21.91,99,5,3
Fludrocortisone,7711de10-5045-4e08-9040-799703ccad80,Tablet,0.1mg,13.52,3,0,0
Flunarizine,34d976ec-d150-44c2-9dd3-6b704e704b4c,Tablet,5mg,2.54,319,103,52
Flunarizine,34d976ec-d150-44c2-9dd3-6b704e704b4c,Tablet,10mg,4.93,319,215,24
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Capsule,20 mg,4.09,176,117,11
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Capsule,60 mg,11.36,176,21,0
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Capsule,40 mg,6.64,176,21,1
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Capsule,10 mg,3.4,176,17,0
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Tablet,10 mg,2.85,208,14,2
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Tablet,40 mg,5.7,208,19,3
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Tablet,60 mg,8.44,208,15,5
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Tablet,20 mg,4.25,208,154,90
Fluphenazine,dba6e642-8908-4441-9692-909ddc484f63,Injection,25mg/mL,56.59,10,10,0
Folic Acid,c68f5791-a913-41d3-aeeb-ba18c21de016,Tablet,5 mg,1.55,40,32,11
Folic Acid,c68f5791-a913-41d3-aeeb-ba18c21de016,Capsule,5 mg,5.16,3,3,3
Framycetin,f3006d71-b3c6-428f-9fc7-380c26e94d4f,Cream,1 %,1.7,4,0,0
Furosemide,56336755-d9be-49af-83b2-a1beef005924,Tablet,40mg,0.94,48,18,13
Furosemide,56336755-d9be-49af-83b2-a1beef005924,Injection,10mg/mL,3.06,6,5,0
Furosemide,56336755-d9be-49af-83b2-a1beef005924,Oral Liquid,10mg/mL,3.4,0,0,0
Fusidic acid,28b66b4f-18f0-4575-9b72-5d1c2c47212d,Cream,2 %,10.06,104,0,0
Gefitinib,32d436c3-5ad7-4b53-8034-ddd5f66b12c5,Tablet,250mg,242.84,50,50,36
Gemcitabine,f35e4f8b-ac46-4f1f-b86b-fe05751ce9d3,Injection,1000mg,5726.84,100,46,7
Gemcitabine,f35e4f8b-ac46-4f1f-b86b-fe05751ce9d3,Injection,200 mg,1331.01,100,42,12
Gentamicin,84c8916b-3a17-4995-aefd-32f967b792e7,Injection,40mg/mL (1.5 ml),2.97,89,31,14
Gentamicin,84c8916b-3a17-4995-aefd-32f967b792e7,Injection,10mg/mL,2.47,89,5,4
Gentamicin,84c8916b-3a17-4995-aefd-32f967b792e7,Injection,40mg/mL (Pack of 10ml),1.55,89,31,25
Gentamicin,84c8916b-3a17-4995-aefd-32f967b792e7,Injection,40mg/mL (Pack of 20ml),1.59,89,31,25
Gentamicin,84c8916b-3a17-4995-aefd-32f967b792e7,Injection,40mg/mL (Pack of 30ml),1.26,89,31,25
Gentamicin,84c8916b-3a17-4995-aefd-32f967b792e7,Injection,40mg/mL (2ml),4.96,89,31,3
Glimepiride,148d6b89-0f57-4ef4-8b7e-3b1b516cfdd4,Tablet,2mg,5.94,5100,2455,1640
Glimepiride,148d6b89-0f57-4ef4-8b7e-3b1b516cfdd4,Tablet,1mg,3.78,5100,2254,1742
Glycopyrrolate,2b313e4d-110d-4585-b474-b6340fafd8ab,Injection,0.2mg/mL,14.88,17,17,4
Griseofulvin,a20cc71b-4cfb-4e9d-9eaa-2158cf1d906f,Tablet,250mg,1.81,73,34,15
Haloperidol,0dab2862-807c-4148-96d3-bcd102911775,Tablet,5mg,3.65,236,83,6
Haloperidol,0dab2862-807c-4148-96d3-bcd102911775,Tablet,10mg,4.89,236,54,4
Haloperidol,0dab2862-807c-4148-96d3-bcd102911775,Oral Liquid,2mg/5mL,2.29,0,0,0
Haloperidol,0dab2862-807c-4148-96d3-bcd102911775,Injection,5mg/mL,6.66,1,1,0
Haloperidol,0dab2862-807c-4148-96d3-bcd102911775,Tablet,20mg,5.49,236,11,5
