nppa_drug_name,salt_id,dosage_form,strength,ceiling_price_2026,drugs_matched_form,drugs_matched_exact,violations
Spironolactone,0789e7fe-eaa8-45e8-80a1-20eaf68f0c4d,Tablet,50mg,4.48,100,76,48
Spironolactone,0789e7fe-eaa8-45e8-80a1-20eaf68f0c4d,Tablet,25mg,2.24,100,18,12
Streptokinase,797575ad-91b0-4d15-a8fb-a833436d616f,Injection,"15,00,000IU",1922.41,28,0,0
Streptomycin,0bb90e22-ba83-447f-b04b-0911f3d723cf,Injection,750 mg,15.51,3,1,0
Streptomycin,0bb90e22-ba83-447f-b04b-0911f3d723cf,Injection,1000mg,16.68,3,2,0
Sulfasalazine,c85c8cf5-7735-4f32-800b-ced8368f6285,Tablet,500 mg,4.83,32,21,11
Sumatriptan,7986f3bc-bd53-4422-b97a-c77a23d4a3e1,Tablet,25mg,33.28,27,6,1
Sumatriptan,7986f3bc-bd53-4422-b97a-c77a23d4a3e1,Tablet,50mg,57.02,27,5,1
Tacrolimus,26a38db7-efb6-46ed-8603-baaf27ee40e0,Capsule,0.5mg,21.16,143,105,66
Tacrolimus,26a38db7-efb6-46ed-8603-baaf27ee40e0,Capsule,1mg,41.6,143,105,6
Tacrolimus,26a38db7-efb6-46ed-8603-baaf27ee40e0,Capsule,2mg,86.37,143,27,3
Tacrolimus,26a38db7-efb6-46ed-8603-baaf27ee40e0,Tablet,1mg,40.94,6,4,0
Tacrolimus,26a38db7-efb6-46ed-8603-baaf27ee40e0,Tablet,2mg,79.55,6,0,0
Tacrolimus,26a38db7-efb6-46ed-8603-baaf27ee40e0,Tablet,0.5mg,21.47,6,4,2
Tamoxifen,6334cd5e-e3ff-41ee-b129-0276be98ad14,Tablet,20mg,3.02,42,20,6
Tamoxifen,6334cd5e-e3ff-41ee-b129-0276be98ad14,Tablet,10mg,2.26,42,21,9
Telmisartan,65261564-83ee-40ff-8a65-1cca3740a3cd,Tablet,20mg,3.98,3994,314,74
Telmisartan,65261564-83ee-40ff-8a65-1cca3740a3cd,Tablet,40mg,6.92,3994,3194,1791
Telmisartan,65261564-83ee-40ff-8a65-1cca3740a3cd,Tablet,80mg,10.65,3994,476,250
Temozolomide,45553041-0113-4d47-97e8-e116c785adeb,Capsule,20 mg,451.93,93,30,10
Temozolomide,45553041-0113-4d47-97e8-e116c785adeb,Capsule,250mg,4407.35,93,32,1
Temozolomide,45553041-0113-4d47-97e8-e116c785adeb,Capsule,100mg,1544.93,93,30,19
Temozolomide,45553041-0113-4d47-97e8-e116c785adeb,Tablet,20 mg,344.73,11,0,0
Temozolomide,45553041-0113-4d47-97e8-e116c785adeb,Tablet,250 mg,3848.39,11,5,0
Tenecteplase,042778d5-29a6-4824-ad54-cd326d7a4066,Injection,40mg/vial,51599.62,9,5,0
Tenecteplase,042778d5-29a6-4824-ad54-cd326d7a4066,Injection,30mg/vial,37796.29,9,2,0
Teneligliptin,534be131-86ab-4d2d-b5bf-6ac7b1feddec,Tablet,20mg,11.35,343,341,66
Terbinafine,7221295d-ba1b-4868-a1ba-eb42dd6038fb,Cream,1%,5.38,277,0,0
Tetanus toxoid,345b73e2-bf35-4bf8-befe-1daf97f47d12,As Licensed,(5ml),26.14,0,0,0
Tetanus toxoid,345b73e2-bf35-4bf8-befe-1daf97f47d12,As Licensed,(0.5ml),12.77,0,0,0
Thalidomide,0b7de09d-6d39-4bf2-9211-696209f8d9a5,Capsule,50 mg,31.91,27,12,6
Thalidomide,0b7de09d-6d39-4bf2-9211-696209f8d9a5,Capsule,100mg,63.5,27,14,4
Timolol,c3f02da5-1fd2-4a88-8d1c-4dd8eba8c6a3,Drops,0.5 %,13.72,0,0,0
Tiotropium,48120f10-2d79-447d-b2b1-426dc4f49748,Inhalation,(MDI) 9 mcg/dose,2.85,0,0,0
Tiotropium,48120f10-2d79-447d-b2b1-426dc4f49748,Inhalation,(DPI) 18mcg/dose,10.97,0,0,0
Tramadol,9f050da9-726c-483c-a8ca-63cab61f547a,Injection,50mg/mL (upto 2ml pack),12.07,408,192,73
Tramadol,9f050da9-726c-483c-a8ca-63cab61f547a,Capsule,50mg,4.93,54,48,26
Tramadol,9f050da9-726c-483c-a8ca-63cab61f547a,Capsule,100mg,9.26,54,3,1
Tramadol,9f050da9-726c-483c-a8ca-63cab61f547a,Tablet,50mg,9.93,605,159,4
Tramadol,9f050da9-726c-483c-a8ca-63cab61f547a,Tablet,100mg,25.07,605,58,3
Tranexamic acid,9aa24687-498b-43f3-88e6-862659f05c04,Injection,100 mg/mL,14.04,173,48,12
Tranexamic acid,9aa24687-498b-43f3-88e6-862659f05c04,Tablet,500 mg,18.98,662,471,106
Trastuzumab,ab8e9faa-33d1-4b58-b46d-d0c18cff87e5,Injection,440mg/50mL,56039.24,26,13,3
Trihexyphenidyl,8a72accc-495a-4456-9470-7e34b5aefbd8,Tablet,2mg,1.4,116,88,19
Tropicamide,dd4adb4e-ce11-460d-996c-57fa337738bf,Eye Drop,1 %,9.65,0,0,0
Valganciclovir,6dc8e93b-cf14-478a-8fe9-8096727fe607,Tablet,450 mg,418.08,27,27,7
Vancomycin,31186723-d1cd-4586-9182-ba57403e760f,Injection,500 mg,325.27,123,80,20
Vancomycin,31186723-d1cd-4586-9182-ba57403e760f,Injection,1000mg,481.56,123,40,16
Vancomycin,31186723-d1cd-4586-9182-ba57403e760f,Injection,250 mg,257.28,123,3,0
Vancomycin,31186723-d1cd-4586-9182-ba57403e760f,Capsule,250 mg,156.05,3,3,1
Vecuronium,62b29601-b1b8-46d9-8651-57d257c85955,Injection,10mg,120.19,38,19,7
Vecuronium,62b29601-b1b8-46d9-8651-57d257c85955,Injection,4 mg,76.18,38,16,7
Verapamil,ae7afed0-1cd4-4085-b01c-51a4c9b2eb77,Tablet,80 mg,1.63,14,6,1
Verapamil,ae7afed0-1cd4-4085-b01c-51a4c9b2eb77,Tablet,40mg,0.88,14,5,1
Vincristine,900c2e68-b92d-4412-9c76-2552db3b38b0,Injection,1mg/mL,58.9,16,15,4
Vitamin A,30a5675d-08ee-4ceb-bc24-9a54003aa628,Tablet,50000IU (including Chewable Tablet),0.74,1,0,0
Vitamin A,30a5675d-08ee-4ceb-bc24-9a54003aa628,Injection,50000IU/mL,2.31,4,0,0
Warfarin,0e02df07-ac92-44ff-ba39-0deed2312f11,Tablet,5 mg,2.46,18,6,3
Warfarin,0e02df07-ac92-44ff-ba39-0deed2312f11,Tablet,3 mg,3.26,18,2,1
Warfarin,0e02df07-ac92-44ff-ba39-0deed2312f11,Tablet,2 mg,2.79,18,5,1
Warfarin,0e02df07-ac92-44ff-ba39-0deed2312f11,Tablet,1 mg,2.52,18,3,1
Xylometazoline,e338afc8-53d2-4312-8ea3-04d049752179,Drops,0.05 %,4.29,180,0,0
Xylometazoline,e338afc8-53d2-4312-8ea3-04d049752179,Drops,0.1%,5.24,180,0,0
Zidovudine,aa42aad7-721f-4998-8899-937adafe8146,Tablet,300 mg,13.92,15,10,7
Zidovudine (A) +Lamivudine (B) +Nevirapine(C),aa42aad7-721f-4998-8899-937adafe8146,Tablet,300mg(A)+150mg(B)+200m g (c),21.64,15,10,3
Zidovudine (A) +Lamivudine(B),aa42aad7-721f-4998-8899-937adafe8146,Tablet,300mg(A)+150mg(B),21.6,15,10,3
Zoledronic acid,42612ee4-4ac2-4b07-8441-4bda3dbad251,Injection,4mg,2449.49,37,35,22
Zolpidem,3df2a584-aad6-485e-a6d2-cfa7ae0593d4,Tablet,5mg,6.36,193,62,3
Zolpidem,3df2a584-aad6-485e-a6d2-cfa7ae0593d4,Tablet,10mg,8.72,193,101,10
